연월,지역,청약지역,평균,중위수,최고,최저
2024-09,서울,해당지역,67.62,74,84,38
2024-09,부산,해당지역,49.28,52,75,27
2024-09,대구,해당지역,52.08,52,75,38
2024-09,인천,해당지역,45.96,49,72,28
2024-09,경기,해당지역,52.58,55,79,19
2024-09,경기,기타지역,46.05,45,63,37
2024-09,강원,해당지역,52.77,54,78,37
2024-10,서울,해당지역,72.03,74,84,49
2024-10,부산,기타지역,40,40,40,40
2024-10,인천,해당지역,55.8,58,80,25
2024-10,인천,기타지역,45.55,45.5,69,30
2024-10,대전,해당지역,48.96,49,69,34
2024-10,대전,기타지역,42,41,44,41
2024-10,경기,해당지역,45.81,48,82,14
2024-10,경기,기타경기,48.72,48.5,59,31
2024-10,경기,기타지역,40.51,39,67,24
2024-10,충남,해당지역,42.88,40,76,25
2024-10,전남,해당지역,40,40,40,40
2024-11,서울,해당지역,64.71,64,79,50
2024-11,인천,해당지역,39,36,56,27
2024-11,인천,기타지역,40,40,40,40
2024-11,대전,해당지역,43.21,37,77,30
2024-11,울산,해당지역,43.81,44,68,27
2024-11,경기,해당지역,51.13,52,79,16
2024-11,경기,기타경기,45.87,48,69,28
2024-11,경기,기타지역,35.7,32,81,19
2024-11,충북,해당지역,63.74,64,76,53
2024-11,충남,해당지역,48.05,46,69,37
2024-11,충남,기타지역,35.63,33,55,28
2024-11,전북,해당지역,56.88,56,74,49
2024-12,서울,해당지역,59.43,59,81,46
2024-12,부산,기타지역,32,32,32,32
2024-12,대구,해당지역,40.09,37,58,34
2024-12,인천,해당지역,53.86,54,75,32
2024-12,경기,해당지역,43.24,42,64,27
2024-12,경기,기타경기,48.14,51.5,58,31
2024-12,경기,기타지역,41.83,44,84,19
2024-12,충북,해당지역,61.95,62,71,54
2024-12,충남,해당지역,43.53,43,72,27
2025-01,서울,해당지역,69.75,69,79,69
2025-01,부산,해당지역,42.31,41,59,33
2025-01,세종,해당지역,59.16,59,70,49
2025-01,세종,기타지역,57.21,56,79,44
2025-01,경기,해당지역,37.5,37.5,51,24
2025-01,경기,기타지역,44.12,44,59,27
2025-01,전북,해당지역,63.23,63,84,50
2025-02,대구,해당지역,42.3,42,64,24
2025-02,인천,해당지역,33,29.5,49,24
2025-02,인천,기타지역,33,33,33,33
2025-02,대전,해당지역,54.33,54.5,64,46
2025-02,울산,해당지역,38.85,37,61,34
2025-02,경기,기타경기,41,43,44,32
2025-02,경기,기타지역,41.4,43,58,28
2025-02,충남,해당지역,50.02,52,75,33
2025-02,경북,해당지역,60,60,63,57
2025-02,경남,해당지역,27.5,27.5,29,26
2025-02,경남,기타지역,30,30,30,30
2025-03,인천,기타지역,25,25,28,22
2025-03,대전,해당지역,53,60,69,30
2025-03,경기,해당지역,53,53,53,53
2025-03,경기,기타지역,37.61,35.5,74,20
2025-03,강원,해당지역,49.75,48,69,37
2025-03,전북,해당지역,40.1,38,65,30
2025-03,경북,해당지역,40.45,39,62,26
2025-03,경북,기타지역,32,32,32,32
2025-03,경남,해당지역,47.62,48,75,31
2025-04,서울,해당지역,54.05,54,74,43
2025-04,부산,해당지역,39.26,37,70,28
2025-04,대구,해당지역,41.8,42,59,29
2025-04,인천,해당지역,42.72,40,79,25
2025-04,인천,기타지역,36.17,32.5,62,29
2025-04,울산,해당지역,66.96,67,71,63
2025-04,경기,해당지역,47.24,45,73,23
2025-04,경기,기타경기,47.18,43,64,38
2025-04,경기,기타지역,45.02,44,76,27
2025-04,충북,해당지역,64.19,64,71,60
2025-04,충남,해당지역,37.73,36,64,29
2025-04,경북,기타지역,44.7,41.5,69,34
2025-04,경남,해당지역,19,19,19,19
2025-04,경남,기타지역,32,32,32,32
2025-05,서울,해당지역,62.5,64,82,39
2025-05,서울,기타지역,69.52,69,79,69
2025-05,부산,해당지역,43.12,43,55,35
2025-05,광주,해당지역,36,36,38,34
2025-05,경기,해당지역,44.66,44,63,37
2025-05,경기,기타경기,45.13,44,67,37
2025-05,경기,기타지역,38.11,36,53,32
2025-06,서울,해당지역,70.16,69,76,69
2025-06,부산,해당지역,42.93,43,64,22
2025-06,대구,해당지역,65.75,67,83,54
2025-06,인천,해당지역,34.66,32,44,28
2025-06,인천,기타지역,54,54,64,44
2025-06,울산,해당지역,39.45,36,57,34
2025-06,경기,해당지역,47.52,47,79,28
2025-06,경기,기타지역,47,53.5,64,19
2025-06,충남,해당지역,39.64,37,70,30
2025-06,충남,기타지역,37,36,48,29
2025-07,서울,해당지역,63.58,64,72,54
2025-07,부산,해당지역,69.38,69,80,65
2025-07,인천,해당지역,58.78,59,69,48
2025-07,인천,기타지역,62.66,63,69,57
2025-07,광주,해당지역,41.5,41.5,61,22
2025-07,경기,해당지역,52.78,55,69,33
2025-07,경기,기타지역,43.71,42,53,37
2025-07,강원,해당지역,47.16,45.5,60,42
2025-07,충북,해당지역,37.41,35,67,26
2025-07,전북,해당지역,38.74,37,74,27
2025-08,서울,해당지역,68.67,74,84,47
2025-08,부산,해당지역,56.72,55,69,51
2025-08,인천,기타지역,21.5,21.5,22,21
2025-08,경기,해당지역,57.49,59,78,37
2025-08,강원,해당지역,48.04,50,70,28
2025-08,충남,해당지역,41.86,40,56,37
2025-09,서울,해당지역,60.93,60,69,54
2025-09,부산,해당지역,52.78,53,74,29
2025-09,인천,해당지역,43.89,39,69,32
2025-09,인천,기타지역,47.12,47.5,65,38
2025-09,울산,해당지역,48.8,49,69,35
2025-09,경기,해당지역,56.52,59,74,32
2025-09,경기,기타지역,56.68,55,69,36
2025-09,충북,해당지역,41.3,42,69,27
2025-09,충남,해당지역,39.4,37,59,34
2025-09,충남,기타지역,44.65,44,64,37
2025-10,서울,해당지역,73.14,74,82,66
2025-10,부산,해당지역,33.25,30.5,47,27
2025-10,대구,해당지역,39,39,39,39
2025-10,인천,해당지역,37.91,36,66,28
2025-10,인천,기타지역,20,20,20,20
2025-10,대전,해당지역,62.24,65,74,46
2025-10,경기,해당지역,52.61,54,77,20
2025-10,경기,기타경기,33,30,59,16
2025-10,경기,기타지역,43.05,40,60,25
2025-10,충북,해당지역,38.28,36,66,26
2025-10,충남,해당지역,51.12,49,84,42
2025-10,전남,해당지역,35.04,33,68,27
2025-10,경북,해당지역,47.78,50,64,29
2025-11,인천,해당지역,48.81,47,69,30
2025-11,인천,기타지역,68.61,69,76,62
2025-11,울산,해당지역,43.57,42,69,27
2025-11,세종,해당지역,62.33,64,74,46
2025-11,세종,기타지역,60.7,62,75,46
2025-11,경기,해당지역,49.17,48,76,22
2025-11,경기,기타경기,53.44,53,59,50
2025-11,경기,기타지역,49.97,50,69,24
2025-11,전북,해당지역,56.91,59,69,45
2025-11,경남,해당지역,57.47,57,84,31
2025-11,경남,기타지역,23,23,23,23
2025-12,서울,해당지역,70.33,69,79,69
2025-12,부산,해당지역,53.94,56,73,33
2025-12,인천,해당지역,42,42,42,42
2025-12,인천,기타지역,53,53,53,53
2025-12,대전,해당지역,71.69,69,79,69
2025-12,울산,해당지역,38.86,37,64,27
2025-12,경기,해당지역,48.34,52,69,32
2025-12,경기,기타지역,54,53,59,48
2025-12,강원,해당지역,29,29,34,24
2025-12,경남,해당지역,38.6,37,64,31
2026-01,서울,해당지역,67.38,69,74,61
2026-01,부산,기타지역,46,46,46,46
2026-01,인천,해당지역,40.95,37.5,69,30
2026-01,인천,기타지역,43.66,40,52,39
2026-01,경기,해당지역,41.22,39,71,27
2026-01,경기,기타지역,45.29,45,63,34
2026-01,제주,해당지역,53,53,69,37
2026-02,서울,해당지역,57.3,58,67,51
2026-02,부산,해당지역,58,58,58,58
2026-02,경기,해당지역,46.07,47,74,27
2026-02,경기,기타지역,44.7,42.5,66,37
2026-02,충남,해당지역,44.16,39.5,79,31
