연도,분기,지역,60제곱미터 이하,60제곱미터 초과 85제곱미터 이하,85제곱미터 초과
2022,1분기  ,경기  ,583,419,408
2022,1분기  ,인천  ,470,564,581
2022,1분기  ,부산  ,479,532,0
2022,1분기  ,대구  ,347,536,845
2022,1분기  ,광주  ,0,524,628
2022,1분기  ,대전  ,454,459,0
2022,1분기  ,울산  ,558,683,824
2022,1분기  ,세종  ,195,386,0
2022,1분기  ,강원  ,0,292,0
2022,1분기  ,충북  ,90,332,334
2022,1분기  ,충남  ,0,343,413
2022,1분기  ,전북  ,0,298,0
2022,1분기  ,전남  ,390,318,342
2022,1분기  ,경북  ,323,372,1211
2022,1분기  ,경남  ,376,376,377
2022,1분기  ,제주  ,0,674,623
2022,2분기  ,서울  ,1068,929,1050
2022,2분기  ,경기  ,644,464,568
2022,2분기  ,인천  ,595,489,0
2022,2분기  ,부산  ,531,466,456
2022,2분기  ,대구  ,879,774,637
2022,2분기  ,광주  ,0,622,688
2022,2분기  ,대전  ,356,388,405
2022,2분기  ,울산  ,414,420,0
2022,2분기  ,세종  ,0,0,0
2022,2분기  ,강원  ,0,362,501
2022,2분기  ,충북  ,323,332,334
2022,2분기  ,충남  ,0,391,392
2022,2분기  ,전북  ,284,302,0
2022,2분기  ,전남  ,0,359,384
2022,2분기  ,경북  ,394,416,420
2022,2분기  ,경남  ,374,430,456
2022,2분기  ,제주  ,373,542,660
2022,3분기  ,서울  ,1005,912,0
2022,3분기  ,경기  ,551,452,688
2022,3분기  ,인천  ,558,462,519
2022,3분기  ,부산  ,533,546,566
2022,3분기  ,대구  ,596,520,528
2022,3분기  ,광주  ,553,553,521
2022,3분기  ,대전  ,455,471,0
2022,3분기  ,울산  ,0,447,353
2022,3분기  ,세종  ,0,0,0
2022,3분기  ,강원  ,338,394,419
2022,3분기  ,충북  ,329,325,313
2022,3분기  ,충남  ,383,376,387
2022,3분기  ,전북  ,251,333,353
2022,3분기  ,전남  ,333,368,338
2022,3분기  ,경북  ,372,329,367
2022,3분기  ,경남  ,507,374,398
2022,3분기  ,제주  ,533,592,765
2022,4분기  ,서울  ,1127,1031,935
2022,4분기  ,경기  ,727,477,512
2022,4분기  ,인천  ,530,453,453
2022,4분기  ,부산  ,875,497,0
