자치구,단지명,임대유형,주소,전체 세대수,임대 세대수,사용승인일
강남구,디에이치포레센트(일원대우),행복(재건축),개포로 110길 38일원동 742,184,11,2021-01-22
강남구,르엘대치(대치제2지구),행복(재건축),도곡로93길 23대치동 977,273,22,2021-09-17
영등포구,신길역봉주르오피스텔(영등포동1가 31-3),행복(재건축),경인로112길 17영등포동1가 31-3,89,12,2021-05-17
중랑구,블리스다임빌(상봉동 104-33),행복(재건축),면목로92가길 15-11상봉동 104-33,12,5,2021-07-20
양천구,솔리스타(목동 793-6),행복(재건축),등촌로 20목동 793-6,74,9,2021-06-03
동대문구,써밋카운티(답십리동 243-6),행복(재건축),전농로 95답십리동 243-6,22,3,2021-08-02
마포구,아현시티(아현동 327-10),행복(재건축),신촌로34길 11아현동 327-10,16,4,2020-12-21
광진구,엘리시아1차(화양동 94-13),행복(재건축),광나루로 20길 36-3화양동 94-13,47,10,2021-07-13
강남구,래미안라클래시(상아2차),행복(재건축),삼성로 651삼성동 189,679,81,2021-09-17
서대문구,홍제역 해링턴 플레이스(홍제3구역),"재개발,행복(리츠2호)",세무서8길 30홍제동 270-1,1116,168,2021-12-30
송파구,송파시그니처롯데캐슬(거여2-1),"재개발,행복(재건축)",거마로56거여동 202-180,1902,325,2021-12-31
성북구,롯데캐슬클라시아(길음1),재개발,숭인로8길 80길음동 508-16,2029,351,2022-01-30
광진구,위너스힐(화양동 111-89),행복(재건축),광나루로 20길 34화양동 111-89,63,11,2021-12-16
마포구,홍대크리원,역세권청년,토정로 131상수동 355-2,27,27,2021-04-20
강서구,우장산역해링턴타워,역세권청년,강서로 231화곡동 1170,87,87,2021-09-03
강동구,천호역한강리슈빌,역세권청년,천호대로 989천호동 458-3,50,50,2021-08-20
중랑구,제이스타상봉,역세권청년,봉우재로 111상봉동 109-34,6,6,2021-06-07
