공고명,공고시작일,공고종료일,공고등록일
평택고덕국제화계획지구 업무시설용지 수의계약 재공급 공고,2024-06-17,2024-06-17,2024-06-03
(수정)판교 제2테크노밸리 주차장용지 공급공고(P1),2024-05-27,2024-06-10,2024-05-27
화성동탄(2) 택지개발지구 주거전용 단독주택용지 공급 공고문(D33),2024-05-24,2024-06-03,2024-05-24
다산신도시(지금지구) 업무용지 공급 사전 안내,2024-05-08,2024-05-08,2024-05-08
광교택지 근린생활시설용지 공급공고(근생20),2024-04-18,2024-04-29,2024-04-18
광교택지 근린생활시설용지 공급공고(근생20),2024-04-02,2024-04-12,2024-04-02
성남금토지구 협의양도종교용지 공급 공고,2024-03-21,2024-04-04,2024-03-21
화성동탄(2) 택지개발지구 주거전용 단독주택용지(D33) 수의계약 중단 안내,2024-02-28,2024-02-28,2024-02-28
화성동탄(2) 택지개발지구 주거전용 단독주택용지 수의계약 공급 공고문(D33),2024-02-15,2024-03-15,2024-02-15
평택고덕국제화계획 점포겸용 단독주택용지 수의계약 공급 공고(FD-1),2024-01-05,2024-02-05,2024-01-05
광주역세권 도시개발사업지구 숙박용지 공급공고,2023-12-19,2024-01-10,2023-12-19
(수정)남양주 다산신도시 진건지구 점포겸용 단독주택용지 공급공고,2023-12-15,2023-12-26,2023-12-15
(수정)다산신도시 진건지구 상업시설용지 공급공고,2023-12-15,2023-12-26,2023-12-15
광주역세권 단독주택용지(주거전용) 수의계약 기간 연장 공고,2023-12-13,2024-01-31,2023-12-13
화성동탄(2) 주거전용 단독주택용지 재공급 공고(D33),2023-12-11,2023-12-22,2023-12-11
평택고덕국제화계획지구 점포겸용 단독주택용지 재공급공고(FD-1블록),2023-12-08,2023-12-19,2023-12-08
광주역세권 도시개발사업 단독주택용지(점포겸용) 재공급 공고(D4),2023-12-11,2023-12-11,2023-11-29
광주역세권 도시개발사업 준주거용지 재공급 공고(C5),2023-12-11,2023-12-11,2023-11-29
다산신도시 지금지구 업무시설용지 재공급 공고,2023-12-11,2023-12-11,2023-11-29
"[수정] 고덕 종교시설용지 및 화성동탄2 근린생활, 유치원용지 수의계약 기간 연장 공고",2023-11-30,2024-01-31,2023-11-29
평택고덕국제화계획지구 업무시설용지 수의계약 공급공고,2023-11-20,2023-11-20,2023-11-06
화성동탄(2) 단독주택용지 주거전용 공급공고 안내,2023-11-21,2023-11-21,2023-10-30
[정정] 평택고덕국제화계획지구 점포겸용 단독주택용지 공급공고(FD-1블록),2023-11-22,2023-11-22,2023-10-30
다산신도시 진건지구 상업시설용지 재공급공고,2023-10-16,2023-10-16,2023-09-22
다산신도시 지금지구 업무시설용지 재공급 공고,2023-10-12,2023-10-12,2023-09-22
광주역세권 준주거용지 재공급 공고,2023-10-13,2023-10-13,2023-09-22
광주역세권 점포겸용 단독주택용지 재공급 공고,2023-10-11,2023-10-11,2023-09-22
평택고덕국제화계획지구 업무시설용지 재공급공고,2023-10-11,2023-10-11,2023-09-18
화성동탄(2)택지개발지구 근린생활시설용지 수의계약 공급공고,2023-08-22,2023-09-22,2023-08-22
화성동탄(2)택지개발지구 유치원용지 수의계약 공급공고,2023-08-22,2023-09-22,2023-08-22
평택고덕국제화계획지구 종교시설용지 수의계약 공급공고,2023-08-22,2023-09-22,2023-08-22
[수정]다산신도시 지금지구 업무시설 재공급 공고(수정1차),2023-08-03,2023-08-18,2023-08-03
평택고덕국제화계획지구 업무시설용지 재공급공고,2023-08-01,2023-08-16,2023-08-01
화성동탄(2) 근린생활시설용지 및 근린상업용지 재공급공고,2023-08-01,2023-08-16,2023-08-01
광주역세권 단독주택용지(주거전용) 수의계약 공급공고,2023-07-28,2023-11-30,2023-07-28
광주역세권 도시개발사업 3단계 면적정산 안내,2023-07-13,2023-08-13,2023-07-13
[2차 수정] 광주역세권 도시개발사업 준주거용지 공급공고(C5),2023-06-30,2023-07-19,2023-06-30
[3차 수정] 다산신도시 진건지구 상업시설용지 공급공고,2023-06-30,2023-07-19,2023-06-30
화성동탄(2) 유치원용지 공급공고,2023-06-28,2023-07-19,2023-06-28
화성동탄(2) 근린생활용지 및 근린상업용지 공급공고,2023-06-28,2023-07-19,2023-06-28
고덕국제화계획지구 업무시설용지 재공급공고,2023-06-28,2023-07-19,2023-06-28
고덕국제화계획지구 종교시설용지 재공급공고,2023-06-28,2023-07-19,2023-06-28
"광주역세권 단독주택용지(점포겸용,주거전용) 공급공고",2023-06-28,2023-07-19,2023-06-28
광주역세권 단독주택용지(주거전용) 수의계약 취소공고,2023-06-23,2023-07-23,2023-06-23
"화성동탄(2) 가설계(안) 예시 안내(근린생활시설, 근린상업용지)",2023-06-13,2023-07-13,2023-06-13
화성동탄(2) 유치원용지 공급공고,2023-05-31,2023-06-14,2023-05-31
화성동탄(2) 근린생활용지 및 근린상업용지 공급공고,2023-05-31,2023-06-14,2023-05-31
고덕국제화계획지구 종교시설용지 재공급 공고,2023-05-31,2023-06-14,2023-05-31
광주역세권 도시개발사업 단독주택용지 공급공고(D4),2023-05-31,2023-06-14,2023-05-31
고덕국제화계획지구 업무시설용지 공급 공고,2023-05-31,2023-06-14,2023-05-31
"평택고덕,화성동탄2, 광주역세권 용지공급 사전안내",2023-05-23,2023-05-31,2023-05-23
다산신도시 지금지구 업무시설용지 재공급공고 개찰결과 및 계약체결 안내,2023-05-15,2023-05-25,2023-05-15
다산신도시(지금지구) 업무시설용지 공급 공고,2023-04-28,2023-05-15,2023-04-28
[택지] 다산신도시(지금지구) 업무용지 공급 사전 안내,2023-04-06,2023-04-30,2023-04-06
[택지]화성동탄(2) 택지(3단계) 소유권이전등기 서류교부 안내문,2022-12-20,2023-12-20,2022-12-20
광주역세권 단독주택용지(점포겸용 및 주거전용) 공급공고,2022-12-12,2022-12-12,2022-11-30
성남금토 공공주택지구 이주자택지 공급공고,2022-12-07,2022-12-16,2022-11-18
평택고덕국제화계획지구 종교시설용지 공급공고,2022-11-07,2022-11-07,2022-10-24
화성동탄(2) 근린생활용지 및 근린상업용지 재공급공고,2022-11-07,2022-11-07,2022-10-24
"동탄2, 광주역세권 4분기 사전공급안내",2022-10-17,2022-12-31,2022-10-17
다산신도시 지금지구 업무용지('22.9.28.재공고건) 개찰결과,2022-10-13,2022-10-13,2022-10-13
다산신도시 지금지구 업무용지 공급 공고(재공고),2022-10-13,2022-10-13,2022-09-28
평택고덕국제화계획지구 종교시설용지 공급공고,2022-10-07,2022-10-07,2022-09-23
"평택고덕국제화계획지구 점포겸용 단독주택용지 공급공고(FD-2,3)",2022-10-07,2022-10-07,2022-09-23
