사업지구명,블록명,위치,공급유형,세대수,준공예정일
충북혁신도시,B5,충청북도 음성군 맹동면 충북 음성군 충북 진천군 던삭면 음성군 맹동면 일원,공공분양,934,2028-08-31
청원오창(06주4),01,충청북도 청주시 청원구 오창읍 충북 청원군 오창면 장대리 일원 충북 청원군 오창읍 장대리 381번지 일원,통합공공임대,608,2028-12-29
청원오창(06주4),02,충청북도 청주시 청원구 오창읍 충북 청원군 오창면 장대리 일원,공공분양,14,2028-12-31
청원오창(06주4),02,충청북도 청주시 청원구 오창읍 충북 청원군 오창면 장대리 일원,공공임대(6년),746,2028-12-31
대전대동2(06주환2),1,대전광역시 유성구 대동 대전 동구 대동 33번지 1원,공공분양,1130,2029-06-29
대전대동2(06주환2),2,대전광역시 유성구 대동 대전 동구 대동 33번지 1원,행복주택,652,2027-06-23
공주월송(06국민1),A-1,충청남도 공주시 월송동 충남 공주 금흥동 월송동 일원,공공분양,518,2026-12-31
도청이전신도시,RH-12,충청남도 홍성군 홍북읍 충남 홍성군 홍북면 예산군 삽교읍 일원 충남 홍성군 홍북면 예산군 삽교읍 일원,공공임대(6년),1706,2028-12-31
군산신역세권(05택1),A1,전북특별자치도 군산시 내흥동 군산시 내흥동 성산면 성덕리 일원 군산시 내흥동 성산면 성덕리 일원,공공분양,660,2029-01-14
군산신역세권(05택1),B1,전북특별자치도 군산시 내흥동 군산시 내흥동 성산면 성덕리 일원 군산시 내흥동 성산면 성덕리 일원 군산신역세권 택지개발지구내 B1BL,공공분양,899,2026-06-30
완주삼봉(06국민),S-1,전북특별자치도 완주군 삼례읍 전라북도 완주군 삼례읍 봉동읍 일원,공공임대(6년),710,2027-12-31
대구도남(09국민1),B-1,대구광역시 북구 도남동 대구시 북구,공공분양,549,2026-08-31
대구도남(09국민1),B-1,대구광역시 북구 도남동 대구시 북구,행복주택,276,2026-08-31
울산다운2(08국민),B-7,울산광역시 중구 다운동 울산 중구 울주군 울산 중구 다운동 울주군 범서읍 서사리 척과리 일원,공공분양,446,2028-04-30
울산다운2(08국민),A-2,울산광역시 중구 다운동 울산 중구 울주군 울산 중구 다운동 울주군 범서읍 서사리 척과리 일원,통합공공임대,412,2027-07-31
울산다운2(08국민),A-4,울산광역시 중구 다운동 울산 중구 울주군 울산 중구 다운동 울주군 범서읍 서사리 척과리 일원,국민임대,194,2027-01-01
울산다운2(08국민),A-4,울산광역시 중구 다운동 울산 중구 울주군 울산 중구 다운동 울주군 범서읍 서사리 척과리 일원,행복주택,194,2027-01-01
울산다운2(08국민),A-3,울산광역시 중구 다운동 울산 중구 울주군,공공분양,890,2027-12-31
