사업지구명,블록명,위치,공급유형,세대수,준공예정일
수원 국토지리정보원(복합개발),1,경기도 수원시 영통구 원천동 111 변경승인,행복주택,240,2026-12-31
인천서구(석남어울림),1,인천광역시 서구 석남동 481-1,행복주택,110,2027-03-31
인천서구(거북이기지),1,인천광역시 서구 석남동 484-4,행복주택,58,2027-03-31
청주내덕(행복),A1,충청북도 청주시 청원구 내덕동 620-5,통합공공임대,80,2026-06-30
정선사북(행복),1,강원특별자치도 정선군 사북읍,국민임대,30,2027-08-31
정선사북(행복),1,강원특별자치도 정선군 사북읍,행복주택,120,2027-08-31
대전대흥(창업지원주택),1,대전광역시 중구 대흥동 452-38 일원,행복주택,100,2026-07-31
담양삼만,01,전라남도 담양군 담양읍,통합공공임대,94,2026-12-31
동해천곡(고령자),1,강원특별자치도 동해시 천곡동 산6번지 일원,영구임대,202,2027-06-30
동해천곡(고령자),1,강원특별자치도 동해시 천곡동 산6번지 일원,행복주택,200,2027-06-30
정읍연지(행복 주거복지지사 복합개발),A,전북특별자치도 정읍시 연지동 65-1번지 일원,행복주택,36,2027-10-31
경북청도(행복뉴딜),1,경상북도 청도군 청도읍,행복주택,42,2027-04-30
익산송학(행복),1,전북특별자치도 익산시 송학동,행복주택,80,2027-09-30
강원인제(마을정비형),00,강원특별자치도 인제군 북면 716 일원,통합공공임대,65,2028-05-31
강원정선2(마을정비형),00,강원특별자치도 정선군 북평면 694-22 일원,통합공공임대,80,2028-06-30
경북영천(마을정비형),00,경상북도 영천시 성내동 344번지 일원,통합공공임대,110,2027-06-30
사상공업,1,부산광역시 사상구 삼락동 380-17일원,행복주택,200,2026-12-30
위례A2-7BL,1,경기도 성남시 수정구 창곡동 A2-7블록(위례신도시내),공공분양,1090,2026-01-31
위례A2-7BL,1,경기도 성남시 수정구 창곡동 A2-7블록(위례신도시내),행복주택,219,2026-01-31
부산모라(복합행복주택),1,부산광역시 사상구 모라동 656-6번지 일원,통합공공임대,94,2028-06-30
아산온양,주복1,충청남도 아산시 온천동 360번지 일원(온양2촉진지구 도시개발사업지구 내 주상복합 1부지),통합공공임대,318,2029-04-30
횡성우천2(행복),1,강원특별자치도 횡성군 우천면,통합공공임대,80,2027-09-30
울산선바위,A-4,울산광역시 울주군 범서읍 범서읍 입암리,통합공공임대,1061,2032-10-30
철원갈말2,1,강원특별자치도 철원군 갈말읍,행복주택,96,2026-06-30
경주내남(고령자),1,경상북도 경주시 내남면 148-1외 일원,영구임대,90,2026-12-31
천안쌍용(고령자),1,충청남도 천안시 서북구 쌍용동,영구임대,50,2028-02-29
천안쌍용(고령자),1,충청남도 천안시 서북구 쌍용동,행복주택,50,2028-02-29
양평공흥(고령자),1,경기도 양평군 양평읍,통합공공임대,150,2028-03-31
인제서화(고령자),1,강원특별자치도 인제군 서화면,국민임대,40,2027-06-30
인제서화(고령자),1,강원특별자치도 인제군 서화면,영구임대,40,2027-06-30
담양담양(행복),1,전라남도 담양군 담양읍 149-4,통합공공임대,40,2027-12-31
함평기산(행복),1,전라남도 함평군 함평읍 775-1,통합공공임대,60,2027-04-30
전주동서학(행복),1,전북특별자치도 전주시 완산구 동서학동 00일원,통합공공임대,88,2026-12-31
충북혁신(클러스터),1,충청북도 음성군 맹동면 충청북도 음성군 맹동면 동성리 535번지 일원,통합공공임대,300,2027-12-31
화천화천(복합개발),1,강원특별자치도 화천군 화천읍,통합공공임대,72,2027-12-01
서귀포대정(통합공공임대),1,제주특별자치도 서귀포시 대정읍 1085,통합공공임대,37,2026-12-31
서울쌍문역세권(동측),1,서울특별시 도봉구 창동 00일원,공공분양,530,2028-12-31
서울쌍문역세권(동측),1,서울특별시 도봉구 창동 00일원,통합공공임대,109,2028-12-31
서울연신내역세권,1,서울특별시 은평구 불광동 00일원,공공분양,325,2028-12-31
서울연신내역세권,1,서울특별시 은평구 불광동 00일원,통합공공임대,67,2028-12-31
구미혁신(통공임),B-2,경상북도 구미시 공단동 249번지 일원,통합공공임대,192,2027-12-31
제천서부,1,충청북도 제천시 서부동 431번지,통합공공임대,42,2027-03-31
영동황간,A,충청북도 영동군 황간면 2-4번지 외 4필지,통합공공임대,40,2026-12-31
여수국동(행복주택),1,전라남도 여수시 봉산동 00일원,통합공공임대,120,2028-06-30
순천장천,1,전라남도 순천시 장천동 00일원,통합공공임대,30,2026-12-31
대구성당(통공임),1,대구광역시 달서구 성당동,통합공공임대,219,2027-06-30
산청산청(통합임대),1,경상남도 산청군 산청읍,통합공공임대,30,2026-12-31
강서염창(가로주택),01,서울특별시 강서구 염창동 283번지,통합공공임대,14,2026-05-20
부산강동 A-2BL 공동주택 건설사업,A-2,부산광역시 강서구 강동동 20-3번지 일원,공공분양,333,2029-03-30
부산강동 A1BL,A1,부산광역시 강서구 강동동 25-3번지 일대,통합공공임대,516,2028-06-30
정선여량(마을정비형),00,강원특별자치도 정선군 여량면,통합공공임대,40,2028-05-31
정선임계(마을정비형),00,강원특별자치도 정선군 임계면,통합공공임대,70,2028-05-31
함양안의(마을정비형),00,경상남도 함양군 안의면,통합공공임대,60,2028-05-31
청주동남 A2,A2,충청북도 청주시 상당구 용암동 2942-73번지 일원,공공분양,650,2028-05-31
마포연남(가로주택),01,서울특별시 마포구 연남동 244-16 외 2필지,통합공공임대,17,2028-12-29
송파석촌(가로주택),00,서울특별시 송파구 석촌동 224-4번지 외 5필지,통합공공임대,11,2028-06-30
충북혁신 B9,B9,충청북도 음성군 맹동면 충청북도 진천군 음성 충북혁신도시 개발사업지구 B9BL,공공분양,998,2028-11-30
대덕특구 R&D 2단계 A4BL,A4,대전광역시 유성구 신동 신동 둔곡동 일원,공공분양,575,2028-06-30
대덕특구 R&D 2단계 A4BL,A4,대전광역시 유성구 신동 신동 둔곡동 일원,공공임대(6년),98,2028-06-30
평창장평(고령자복지),1,강원특별자치도 평창군 용평면 317-2 일원,통합공공임대,68,2027-11-30
석문국가산단 B-6,B-6,충청남도 당진시 석문면 고대면 성산리 일원 석문국가산업단지 내 B-6BL,공공분양,1124,2028-08-31
파주운정A40,A40,경기도 파주시,공공분양,419,2029-12-31
병점복합타운(주상복합),주복1,경기도 화성시 병점동,공공분양,780,2029-10-31
평택고덕 A-56BL 민간참여 공공주택 건설사업,A-56BL,경기도 평택시 고덕동 고덕면 일원,공공임대(6년),1499,2028-12-31
의정부법조타운 A-3BL,A-3,경기도 의정부시 고산동,통합공공임대,528,2029-01-30
의정부법조타운 S-1BL,S1,경기도 의정부시 고산동,공공분양,354,2029-09-30
의정부법조타운 S-3BL,S3,경기도 의정부시 고산동,공공분양,544,2029-09-30
남원주역세권,A-3,강원특별자치도 원주시 무실동 강원 원주시 무실동,공공분양,397,2027-02-28
남원주역세권,A-3,강원특별자치도 원주시 무실동 강원 원주시 무실동,행복주택,198,2027-02-28
괴산미니복합타운,A1,충청북도 괴산군 괴산읍,행복주택,350,2026-06-30
괴산미니복합타운,A3,충청북도 괴산군 괴산읍,공공분양,424,2028-06-30
과천지식S11BL(행복주택리츠),S11BL,경기도 과천시 갈현동 갈현동문원동 일원 과천지식정보타운 공공주택지구,행복주택,846,2026-05-29
