공고명,공고시작일,공고종료일,공고등록일
연천BIX 경기행복주택 기업체 기숙사 모집 공고,2026-03-09,2026-03-13,2026-02-27
고덕 자연앤하우스디(A4BL) 분양주택(민영주택) 무순위 4차 입주자 모집공고,2026-02-20,2026-02-25,2026-02-20
광주송정복합 통합공공임대주택 예비입주자 모집 공고,2026-01-29,2026-01-29,2026-01-29
고덕 자연앤하우스디(A4BL) 분양주택(국민 및 민영주택) 임의공급 입주자 모집공고,2026-01-29,2026-02-03,2026-01-27
고덕 자연앤하우스디(A4BL) 분양주택(국민 및 민영주택) 무순위 3차 입주자모집공고,2026-01-12,2026-01-16,2026-01-07
광주역세권 청년혁신타운 통합공공임대주택(일자리연계형 지원주택) 입주자 추가모집 공고,2025-12-23,2025-12-23,2025-12-23
[정정] 25년 2차 청년 매입임대주택 예비 입주자 모집공고,2025-12-15,2025-12-17,2025-12-11
다산메트로 3단지 영구임대주택 입주자(예비입주자) 모집공고,2025-12-09,2025-12-24,2025-12-09
25년 2차 청년 매입임대주택 예비 입주자 모집공고,2025-11-28,2025-12-17,2025-11-28
('25년 2차) 기존주택 등 매입임대주택 예비입주자 모집공고 (10개 시·군),2025-11-28,2025-12-18,2025-11-28
평택고덕 경기행복주택 예비입주자 추가모집 공고,2025-11-20,2025-11-20,2025-11-20
안성공도 참아름 국민임대주택 예비입주자 모집공고문,2025-11-19,2025-11-19,2025-11-19
고덕 자연&하우스디(A4BL) 분양주택(국민 및 민영주택) 무순위 2차 입주자 모집공고,2025-11-05,2025-11-25,2025-11-05
(안산 반월역두산위브더센트럴)장기전세주택 당첨자 및 예비입주자 선정결과 안내,2025-10-31,2025-10-31,2025-10-31
경기리츠1호 다산지금데시앙 장기전세주택 입주자 및 예비입주자 당첨자 발표,2025-10-23,2025-11-06,2025-10-23
평택이충 통합공공임대주택 예비입주자 모집 공고,2025-10-23,2025-10-23,2025-10-23
"하남풍산 참아름 국민임대주택(49, 59형) 예비입주자 모집 접수마감 안내",2025-10-23,2025-10-23,2025-10-23
"하남풍산 참아름 국민임대주택(49형,59형) 예비입주자 모집공고",2025-09-30,2025-09-30,2025-09-30
동탄2 A93블록 장기전세주택(동탄호수공원 자연&자이) 추가입주자 및 예비입주자 모집 서류제출대상자 발표,2025-09-26,2025-10-17,2025-09-26
25년 하반기 경기행복주택(16개 지구) 예비입주자 추가모집 공고,2025-09-25,2025-09-25,2025-09-25
고덕 자연&하우스디(A4BL) 분양주택(국민 및 민영주택) 무순위 입주자 모집공고,2025-09-24,2025-10-02,2025-09-24
"다산센트럴파크6단지 국민임대주택(33A, 46A형) 입주자 및 예비입주자 모집공고(2025.03.14.) 당첨자 발표",2025-09-19,2025-09-19,2025-09-19
동탄 꿈의숲 자연& 데시앙(A78BL) 분양주택 무순위 입주자 모집공고,2025-09-17,2025-09-17,2025-09-17
동탄2 A93블록 장기전세주택(동탄호수공원 자연&자이) 입주자모집(2025.08.29.) 마감 안내,2025-09-10,2025-09-10,2025-09-10
수원광교 공공실버 영구임대주택 입주자(예비입주자) 발표,2025-09-05,2025-09-05,2025-09-05
