공고명,공고시작일,공고종료일,공고등록일
화성동탄2 A93블록 동탄호수공원 자연&자이 장기전세주택 추가 입주자 및 예비입주자 모집공고,2025-08-29,2025-09-11,2025-08-29
연천BIX 경기행복주택 (예비)입주자 입주자격완화 추가모집 공고,2025-08-28,2025-09-17,2025-08-28
(의정부) 장기전세주택 예비입주자 모집,2025-09-08,2025-09-11,2025-08-28
[경기 남부 14개 시군] ‘25년 1차 매입임대 예비입주자 선정 결과 발표('25.03.31. 공고),2025-08-12,2025-08-12,2025-08-12
[경기 동부 7개 시군] ‘25년 1차 매입임대 예비입주자 선정 결과 발표('25.03.31. 공고),2025-08-12,2025-08-12,2025-08-12
[경기 북부 6개 시군] ‘25년 1차 매입임대 예비입주자 선정 결과 발표('25.03.31. 공고),2025-08-12,2025-08-12,2025-08-12
25년 1차 청년 매입임대주택 예비입주자 선정결과 발표,2025-07-31,2025-07-31,2025-07-31
광주역세권 청년혁신타운 통합공공임대주택(일자리연계형 지원주택) 입주자 모집 공고,2025-07-31,2025-08-22,2025-07-31
용인영덕 경기행복주택 입주자 추가모집 공고,2025-07-10,2025-07-24,2025-07-10
매입임대주택 '25년 자격완화(1차) 입주자 모집공고(공고일:'25.5.23.) 당첨자 발표,2025-07-03,2025-07-03,2025-07-03
고덕 자연앤하우스디(A4BL) 분양주택 입주자 모집공고,2025-06-27,2025-07-09,2025-06-27
안양도시형생활주택 예비입주자 모집공고,2025-07-01,2025-07-03,2025-06-20
이천 하이시티 및 연천BIX 경기행복주택 (예비)입주자 추가모집 공고,2025-06-19,2025-07-04,2025-06-19
경기행복주택(성남하대원·다산지금A5·평택고덕) 자립준비청년 추가모집 공고,2025-06-19,2025-06-19,2025-06-19
(구리·안산·의정부) 장기전세주택 예비입주자 모집,2025-05-29,2025-06-12,2025-05-29
수원광교 공공실버 영구임대주택 (예비)입주자 모집공고,2025-05-28,2025-06-18,2025-05-28
다산센트럴파크6단지 영구임대주택 추가 및 예비입주자 발표,2025-05-27,2025-06-27,2025-05-27
"(수정) 25년 매입임대주택 입주자 모집공고(자격완화, 주택목록 게시)",2025-05-23,2025-06-13,2025-05-23
25년 2차 용인청년 창업지원주택 입주자 모집공고,2025-05-09,2025-05-22,2025-05-09
동탄 포레파크 자연& 푸르지오(A76-2BL) 분양주택 입주자 모집공고,2025-05-09,2025-05-20,2025-05-09
동탄 꿈의숲 자연& 데시앙(A78BL) 분양주택 입주자 모집공고,2025-05-09,2025-05-09,2025-05-09
"다산메트로3단지 국민임대주택(32B, 34A, 51A) 예비입주자 모집(2024.11.14.) 당첨자 발표 안내",2025-04-30,2025-05-30,2025-04-30
다산지금데시앙 장기전세주택 입주자 및 예비입주자 모집 마감 안내,2025-04-29,2025-05-29,2025-04-29
"24년 2차 청년매입임대주택 2,3순위 예비입주자 선정결과 발표",2025-04-25,2025-05-25,2025-04-25
25년 상반기 경기행복주택(16개 지구) 예비입주자 추가모집 공고,2025-04-24,2025-05-14,2025-04-24
"안성공도 참아름 국민임대주택(49형,59형) 예비입주자 모집 신청접수 마감 안내",2025-04-21,2025-05-21,2025-04-21
[정정] 경기리츠1호 다산지금데시앙 장기전세주택 예비입주자 모집공고,2025-04-17,2025-04-30,2025-04-17
"다산센트럴파크6단지 국민임대주택(33A,46A형) 입주자 및 예비입주자 모집 서류제출대상자 발표",2025-04-14,2025-05-14,2025-04-14
25년 1차 청년매입임대주택 최종경쟁률 게시,2025-04-11,2025-05-11,2025-04-11
연천BIX 경기행복주택 입주자 추가모집 공고,2025-04-10,2025-04-23,2025-04-10
"안성공도 참아름 국민임대주택(49형, 59형) 예비입주자 모집공고",2025-04-04,2025-04-23,2025-04-04
25년 1차 기존주택 등 매입임대주택 예비입주자 모집공고(경기도 27개 시군),2025-03-31,2025-04-18,2025-03-31
24년 2차 청년매입임대주택 1순위 예비입주자 선정결과 발표,2025-03-28,2025-04-28,2025-03-28
25년 1차 청년매입임대주택 예비입주자 모집공고,2025-03-28,2025-04-09,2025-03-28
25년 자립준비청년(보호종료아동) 매입임대 입주자 상시모집 공고,2025-03-28,2025-04-28,2025-03-28
화성동탄2 A93블록 장기전세주택(동탄호수공원 자연&자이) 입주자 모집 서류제출대상자 발표,2025-03-19,2025-03-28,2025-03-19
25년 2차 용인청년 창업지원주택 입주자 모집공고,2025-03-17,2025-03-27,2025-03-17
다산센트럴파크6단지 국민임대주택 입주자 및 예비입주자 모집공고,2025-03-14,2025-03-26,2025-03-14
(의정부·안양·광명·안산) 장기전세주택 예비입주자 모집,2025-03-10,2025-03-13,2025-02-19
화성동탄2 A93블록 장기전세주택(동탄호수공원 자연&자이) 입주자모집 마감 안내,2025-02-14,2025-02-14,2025-02-14
안산스마트허브 입주자격완화 추가모집 공고,2025-02-12,2025-02-12,2025-02-12
양평남한강 및 연천BIX 경기행복주택 입주자 추가모집 공고,2025-02-07,2025-02-07,2025-02-07
24년 2차 청년매입임대주택 최종경쟁률 게시,2025-02-05,2025-02-05,2025-02-05
화성동탄2 A93블록 동탄호수공원 자연앤자이 장기전세주택 입주자 모집공고,2025-01-24,2025-01-24,2025-01-24
25년 1차 용인청년 창업지원주택 입주자 모집공고,2025-01-07,2025-01-07,2025-01-07
안양도시형생활주택 예비입주자 당첨결과 안내(2024.09.30. 공고),2024-12-20,2024-12-20,2024-12-20
평택이충 통합공공임대주택 입주자 추가모집 공고,2024-12-20,2024-12-20,2024-12-20
연천BIX 경기행복주택 입주자 모집 공고,2024-11-29,2024-12-19,2024-11-29
24년 2차 청년매입임대주택 예비입주자 모집공고,2024-12-16,2025-01-07,2024-11-28
안산 중흥s클래스 더퍼스트 완화 예비입주자 모집공고,2024-12-09,2024-12-11,2024-11-27
안성청사복합 통합공공임대주택 입주자 추가모집 공고,2024-11-15,2024-12-06,2024-11-15
다산메트로3단지 국민임대주택 예비입주자 모집공고,2024-11-14,2024-11-27,2024-11-14
"24년 1차 청년매입임대주택 2,3순위 예비입주자 선정결과 발표",2024-11-01,2024-12-01,2024-11-01
광주송정복합 통합공공임대주택 입주자 모집 공고,2024-10-31,2024-11-29,2024-10-31
다산 센트럴파크6단지 영구임대주택 입주자격완화 추가 및 예비입주자 모집 공고,2024-10-30,2024-11-14,2024-10-30
경기행복주택(20개 지구) 예비입주자 추가모집 공고,2024-10-25,2024-11-22,2024-10-25
평택이충 통합공공임대주택 입주자 모집 공고,2024-10-24,2024-11-07,2024-10-24
24년 1차 청년매입임대주택 1순위 예비입주자 선정결과 발표,2024-10-11,2024-11-11,2024-10-11
안성청사복합 통합공공임대주택 입주자 모집공고(공고일:'24.4.25.) 당첨자 및 예비입주자 발표,2024-09-30,2024-10-30,2024-09-30
안양도시형생활주택 예비입주자 모집공고,2024-10-15,2024-10-17,2024-09-30
이천 하이시티 경기행복주택 입주자 모집 공고,2024-09-23,2024-10-17,2024-09-23
(수정)안성청사복합 일자리연계형 지원주택(창업지원주택) 입주자 모집공고(공고일:'24.4.25.) 당첨자 발표,2024-09-23,2024-10-23,2024-09-23
‘24년 2차 기존주택 매입임대 예비입주자 모집('24.04.26 공고) 선정 결과 발표,2024-09-05,2024-10-05,2024-09-05
다산메트로3단지 주거약자용주택 입주자격완화 추가 및 예비입주자 발표,2024-08-27,2024-08-27,2024-08-27
매입임대주택 '24년 미임대(1차) 입주자 모집공고(공고일:'24.4.3.) 당첨자 발표,2024-08-26,2024-08-26,2024-08-26
"안산 한신더휴, 중흥S클래스 더퍼스트 추가 예비입주자 모집공고",2024-09-02,2024-09-05,2024-08-26
의정부역 푸르지오 더센트럴 입주자 모집공고(‘24.05.22.) 당첨자 발표 연기 안내,2024-08-22,2024-08-22,2024-08-22
다산 포레스트2단지 고령자복지주택 입주자격완화 추가 및 예비입주자 모집 당첨자 발표,2024-07-12,2024-07-12,2024-07-12
안성청사복합 일자리연계형 지원주택(창업지원주택) 입주자 추가모집 공고,2024-07-29,2024-07-31,2024-07-12
양평남한강 경기행복주택 입주자 모집 공고,2024-07-05,2024-07-05,2024-07-05
의정부역 푸르지오 더센트럴 장기전세주택 추가 예비입주자 모집공고,2024-07-22,2024-07-25,2024-07-04
"장기전세주택(구리역 힐스테이트, 안산한신더휴, 안산중흥S-클래스더퍼스트) 입주자 모집공고 서류제출대상자 명단 발표",2024-07-03,2024-07-03,2024-07-03
"[정정공고] 장기전세주택 입주자모집 공고(의정부, 구리, 안산)",2024-06-03,2024-06-10,2024-06-26
"안성공도 참아름 국민임대주택 예비입주자(39형,49형) 모집 공고(2024.06.14.) 안내",2024-06-24,2024-06-26,2024-06-14
다산 포레스트2단지 국민임대주택 예비입주자 모집 공고(2024.06.14.) 안내,2024-06-24,2024-06-26,2024-06-14
안성청사복합 통합공공임대주택 청약접수 경쟁률 게시,2024-06-14,2024-06-14,2024-06-14
(구리·안산) 장기전세주택 입주자 모집,2024-06-24,2024-06-28,2024-06-10
23년 4차 청년매입임대주택 예비입주자모집(‘23.12.22. 공고) 선정 결과 발표,2024-05-31,2024-05-31,2024-05-31
24년 1차 청년매입임대주택 예비입주자 모집공고,2024-05-24,2024-07-04,2024-05-24
24년 자립준비청년(보호종료아동) 매입임대 입주자 상시모집 공고,2024-05-24,2024-05-25,2024-05-24
24년 1차 기존주택 매입임대 예비입주자 모집('24.01.26) 선정 결과 발표,2024-05-23,2024-05-23,2024-05-23
의정부역 푸르지오 더 센트럴 장기전세주택 입주자 모집,2024-05-22,2024-06-10,2024-05-22
재건축 매입임대주택 장기전세 입주자 및 예비입주자 모집,2024-04-30,2024-05-20,2024-04-30
다산 메트로3단지 국민임대주택 41A 예비입주자 발표,2024-04-26,2024-04-26,2024-04-26
경기행복주택(19개 지구) 예비입주자 추가모집 공고,2024-04-26,2024-04-27,2024-04-26
('24년 2차) 기존주택 등 매입임대주택 예비입주자 모집공고,2024-04-26,2024-05-14,2024-04-26
안성청사복합 일자리연계형 지원주택(창업지원주택) 입주자 모집 공고,2024-04-25,2024-05-23,2024-04-25
안성청사복합 통합공공임대주택 입주자 모집 공고,2024-04-25,2024-05-30,2024-04-25
"23년 4차 청년매입임대주택 최우선, 1순위 결과 발표",2024-04-25,2024-04-25,2024-04-25
(수정)다산 메트로3단지(진건A1) 주거약자용주택(영구임대) 입주자격완화 추가 및 예비입주자 모집공고,2024-04-09,2024-04-24,2024-04-09
다산신도시 진건지구 A3블록 10년 분양전환 공공임대주택 잔여세대 입주자 및 예비입주자 모집 서류제출대상자 명단 및 서류제출 안내문 게시('24.3.14.공고),2024-04-08,2024-04-17,2024-04-08
(수정)'24년 매입임대주택 미임대(1차) 입주자 모집,2024-04-04,2024-04-25,2024-04-04
23년 4차 청년매입임대 최종경쟁률 게시,2024-03-28,2024-03-28,2024-03-28
재건축 매입임대주택 장기전세 입주자 및 예비입주자 모집,2024-03-27,2024-04-16,2024-03-27
다산신도시 진건지구 A3블록 10년 분양전환 공공임대주택 잔여세대 입주자 및 예비입주자 모집 경쟁률 게시('24.3.14.공고),2024-03-26,2024-03-26,2024-03-26
다산신도시 진건지구 A3블록 10년 분양전환 공공임대주택 잔여세대 입주자 및 예비입주자 모집 마감 안내('24.3.14.공고),2024-03-25,2024-03-25,2024-03-25
하남풍산 참아름아파트 국민임대주택(59형) 예비입주자 모집 당첨자 발표(‘23.10.27.공고),2024-03-22,2024-03-22,2024-03-22
다산 포레스트2단지(진건A5) 고령자복지주택(영구임대) 입주자격완화 추가 및 예비입주자 모집공고,2024-03-22,2024-04-05,2024-03-22
다산신도시 진건지구 A3블록 10년 분양전환 공공임대주택 잔여세대 입주자 및 예비 입주자 모집공고,2024-03-14,2024-03-26,2024-03-14
수원광교 공공실버 영구임대주택 (예비)입주대상자 발표,2024-03-04,2024-03-04,2024-03-04
매입임대주택 23년 미임대 3차 모집공고('23.11.08.) 당첨자 발표,2024-02-29,2024-02-29,2024-02-29
23년 3차 청년매입임대주택 입주자모집('23.09.22. 공고) 예비입주자 선정 결과 발표,2024-02-29,2024-02-29,2024-02-29
"23년 4차 청년매입임대 신청접수 최우선, 1순위 신청접수 현황 게시",2024-01-26,2024-02-26,2024-01-26
(수정)[경기도 내 4개시] ‘24년 1차 기존주택 매입임대 예비입주자 모집,2024-01-26,2024-02-08,2024-01-26
"23년 3차 청년매입임대주택 최우선, 1순위 결과 발표",2024-01-22,2024-02-22,2024-01-22
다산메트로3단지 국민임대주택 41A 예비입주자 모집 관련 서류제출대상자 발표,2024-01-09,2024-02-09,2024-01-09
청년 매입임대주택 (예비)입주자모집(2023년 4차),2023-12-22,2024-02-01,2023-12-22
안양도시형생활주택 예비입주자 당첨결과 안내(2023.09.25. 공고),2023-12-15,2024-01-15,2023-12-15
다산 메트로3단지 국민임대주택 41A 예비입주자 모집공고,2023-12-14,2023-12-29,2023-12-14
매입임대주택 23년 미임대 2차 모집공고('23.09.08) 당첨자 발표,2023-12-08,2024-01-08,2023-12-08
동탄2 A105 경기행복주택 입주자 추가모집 공고,2023-12-07,2023-12-28,2023-12-07
수원광교 공공실버 영구임대주택 (예비)입주자 모집공고,2023-12-04,2023-12-14,2023-12-04
23년 2차 청년매입임대주택 입주자모집('23.06.16. 공고) 예비입주자 선정 결과 발표,2023-11-22,2023-11-22,2023-11-22
기존주택 매입임대 입주자 수시 2차 모집 잔여세대 내역 공고,2023-11-20,2023-11-20,2023-11-20
[수정] 하남풍산 참아름 국민임대주택(59형) 예비입주자 모집 관련 서류제출대상자 발표,2023-11-17,2023-11-17,2023-11-17
23년 3차 청년매입임대 최종경쟁률 게시,2023-11-16,2023-11-16,2023-11-16
다산 포레스트2단지(진건A5블록) 영구임대주택 입주자격완화 추가 및 예비입주자 발표,2023-11-10,2023-11-10,2023-11-10
하남풍산 참아름 국민임대주택(59형) 예비입주자 모집 신청접수 마감 안내,2023-11-08,2023-11-08,2023-11-08
(수정) ‘23년 매입임대주택 미임대(3차) 입주자 모집,2023-12-04,2023-12-07,2023-11-08
(수정)기존주택 매입임대주택 입주자 수시모집('23년 2차),2023-11-13,2023-11-13,2023-10-27
(수정)하남풍산 참아름 국민임대주택(59형) 예비입주자 모집공고,2023-11-17,2023-11-17,2023-10-27
"23년 3차 청년매입임대 신청접수 최우선, 1순위 신청접수 현황 게시",2023-10-30,2023-11-02,2023-10-25
23년 2차 청년매입임대주택 최우선 1순위 결과 발표,2023-10-24,2023-10-24,2023-10-24
동탄레이크파크 자연&e편한세상(A94BL) 공공분양주택 중복 청약 신청 유의 사항,2023-10-19,2023-10-19,2023-10-19
화성동탄2 A94블럭 무량판구조 등 구조 설계에 대한 안전점검 결과 공지,2023-10-16,2023-10-16,2023-10-16
동탄레이크파크 자연& e편한세상(A94BL) 공공분양주택 입주자모집공고,2023-10-23,2023-10-25,2023-10-13
경기행복주택(11개 지구) 입주자 추가모집 공고,2023-09-25,2023-09-25,2023-09-25
(수정)안양도시형생활주택 예비입주자 수시모집,2023-10-16,2023-10-16,2023-09-25
(수정)청년 매입임대주택 (예비)입주자모집(2023년 3차),2023-10-16,2023-11-02,2023-09-22
‘23년 매입임대주택 미임대(2차) 입주자 모집,2023-10-04,2023-10-10,2023-09-08
다산 포레스트2단지 국민임대주택 추가 및 예비입주자 당첨 발표 및 커트라인 안내,2023-09-01,2023-10-01,2023-09-01
"다산 포레스트2단지 영구임대주택 및 고령자복지주택 추가입주자, 예비입주자 당첨 발표",2023-09-01,2023-10-01,2023-09-01
기존주택 매입임대 입주자 수시모집 잔여세대 내역 공고,2023-08-25,2023-09-25,2023-08-25
"23년 1차 청년매입임대주택 입주자모집('23.03.17. 공고) 2,3순위 예비입주자 선정 결과 발표",2023-08-21,2023-09-21,2023-08-21
23년 2차 청년매입임대 최종경쟁률 게시,2023-08-09,2023-09-09,2023-08-09
[수정] 기존주택 매입임대주택 입주자 수시모집('23년 1차),2023-08-07,2023-09-21,2023-08-07
매입임대주택 23년 미임대 1차 모집공고('23.04.21) 당첨자 발표,2023-08-03,2023-09-03,2023-08-03
[수정] 백암재단 사회적주택(평택 서정동) 입주자 모집 공고,2023-08-03,2023-08-09,2023-08-03
다산 포레스트2단지 영구임대주택 입주자격완화 추가 및 예비입주자 모집공고,2023-07-28,2023-08-11,2023-07-28
"23년 2차 청년매입임대 신청접수 최우선, 1순위 신청접수 현황 게시",2023-07-21,2023-08-21,2023-07-21
"23년 2차 청년매입임대 신청접수 최우선, 1순위 신청접수 현황 게시",2023-07-21,2023-08-21,2023-07-21
23년 1차 기존주택 매입임대 예비입주자 모집('23.02.13) 광명시 선정 결과 추가 발표,2023-07-06,2023-08-06,2023-07-06
[수정] 청년 매입임대주택 (예비)입주자모집(2023년 2차),2023-06-30,2023-07-27,2023-06-30
[수정] 23년 1차 청년매입임대주택 최우선 1순위 결과 발표,2023-06-28,2023-07-28,2023-06-28
‘23년 1차 기존주택 매입임대 예비입주자 모집('23.02.13) 선정 결과 발표,2023-06-13,2023-07-13,2023-06-13
다산 포레스트 2단지 국민임대주택 추가 및 예비입주자 모집(2023.05.15.) 서류제출대상자 발표 및 커트라인 안내,2023-06-07,2023-07-07,2023-06-07
매입임대주택 북부공급센터 이전 알림,2023-06-01,2023-06-30,2023-06-01
[부천] 부천아이파크 소새울KCC스위첸 장기전세주택 예비입주자 모집,2023-05-31,2023-06-15,2023-05-31
동탄2 A105 경기행복주택 입주자 모집 공고,2023-05-30,2023-06-22,2023-05-30
[안양]안양역한양수자인리버파크·평촌더샵아이파크 장기전세주택 예비입주자 모집,2023-05-26,2023-06-09,2023-05-26
다산 포레스트2단지 고령자복지주택 추가 및 예비입주자 모집공고,2023-05-19,2023-06-01,2023-05-19
다산 포레스트2단지 영구임대주택 추가 및 예비입주자 모집공고,2023-05-19,2023-06-01,2023-05-19
[수정] 다산 포레스트 2단지 국민임대주택 추가 및 예비입주자 모집 공고 안내,2023-05-15,2023-05-26,2023-05-15
23년 1차 청년매입임대 신청접수 최종경쟁률 게시,2023-05-10,2023-06-10,2023-05-10
의정부 탑석센트럴자이 장기전세주택 입주자격완화 선착순(동호지정) 입주자모집 공고,2023-05-09,,2023-05-09
(광명)헤모로이연 장기전세주택 입주자 및 예비입주자 모집,2023-05-04,2023-05-18,2023-05-04
다산신도시 진건지구 A3블록 10년 분양전환 공공임대주택 입주자 모집 당첨자 커트라인 게시,2023-05-03,,2023-05-03
다산신도시 진건지구 A3블록 10년 분양전환 공공임대주택 당첨자발표 및 동호수별 주택타입 안내,2023-05-02,,2023-05-02
 [정정] 다산신도시 자연앤푸르지오 공공분양 계약취소주택(특별공급 1호) 입주자 모집공고,2023-05-02,2023-05-08,2023-05-02
[남양주] 다산센트레빌 장기전세주택 입주자 및 예비입주자 모집,2023-04-28,2023-05-11,2023-04-28
"23년 1차 청년형매입임대 신청접수 최우선, 1순위 경쟁률 게시",2023-04-25,,2023-04-25
다산 센트럴파크6단지 국민임대주택 46A 예비입주자 모집 당첨자 발표일 연기 안내(‘22.12.07.공고),2023-04-21,2023-06-09,2023-04-21
[수정]‘23년 매입임대주택 미임대(1차) 입주자 모집,2023-04-21,2023-05-18,2023-04-21
다산신도시 진건지구 A3블록 10년 분양전환 공공임대주택 입주자 모집 청약접수현황 및 경쟁률 안내,2023-04-21,,2023-04-21
다산신도시 진건지구 A3블록 10년 분양전환 공공임대주택 입주자 모집 마감 안내('23.3.31.공고),2023-04-19,,2023-04-19
‘22년 2차 기존주택 매입임대 예비입주자 모집('22.12.06) 선정 결과 발표,2023-04-19,,2023-04-19
다산 메트로3단지 국민임대주택(51A) 예비입주자 모집(공고일 ‘22.11.25.) 당첨자(예비자) 발표,2023-03-31,,2023-03-31
다산신도시 진건지구 A3블록 10년 분양전환 공공임대주택 입주자모집공고,2023-03-31,2023-03-31,2023-03-31
매입임대주택 22년 미임대 2차 모집공고('22.12.22) 당첨자 발표,2023-03-29,,2023-03-29
다산 포레스트2단지 국민임대주택 입주자 모집(공고일 ‘22.10.31.) 당첨자 및 예비자 커트라인 안내,2023-03-23,,2023-03-23
다산 포레스트2단지 국민임대주택 입주자 모집(공고일 ‘22.10.31.) 당첨자 및 예비자 발표 안내,2023-03-23,,2023-03-23
(의정부)탑석센트럴자이 장기전세주택 입주자 모집 공고,2023-03-22,,2023-03-22
다산 센트럴파크6단지(지금A1) 영구임대주택 입주자격완화 추가 및 예비입주자 모집공고,2023-03-22,2023-04-12,2023-03-22
[재수정] 청년 매입임대주택 (예비)입주자모집(2023년 1차),2023-03-17,2023-04-27,2023-03-17
고양대곡역 두산위브 장기전세주택 입주자 및 예비입주자 모집공고,2023-03-06,2023-03-28,2023-03-06
다산 포레스트2단지(진건A5) 영구임대주택 당첨자 명단 게시,2023-03-03,2023-03-24,2023-03-03
[주택] 경기리츠1호(진건B1블록 및 지금A2블록) 장기전세주택 추가모집('23.1.12.공고) 서류제출대상자 발표,2023-02-16,2023-02-22,2023-02-15
[경기도 내 12개시] ‘23년 1차 기존주택 매입임대 예비입주자 모집,2023-02-13,2023-02-28,2023-02-13
[주택] 다산 메트로3단지 국민임대주택(32B형) 추가 및 예비입주자 모집(공고일 ‘22.9.7.) 당첨자 및 예비자 발표 안내,2023-01-31,2023-02-10,2023-01-31
안성공도 국민임대주택 예비입주자 당첨자 명단 게시,2023-01-27,2023-02-07,2023-01-27
"[주택] 다산진건B1, 지금A2 장기전세주택 추가 입주자 및 예비자 모집 마감 안내('23.1.12.공고)",2023-01-27,2023-02-07,2023-01-27
[주택] (수정) 다산 센트럴파크6단지 국민임대주택(33형) 추가 및 예비입주자 모집(‘22.6.27.공고) 당첨자 및 예비입주자 재발표,2023-01-17,2023-02-08,2023-01-17
[주택] 매입임대주택 22년 하반기 청년 예비입주자 모집('22.09.30. 공고)관련 최종 결과 발표,2023-01-16,2023-01-26,2023-01-16
광주역자연앤자이 계약취소주택(특별공급 2호) 입주자 모집공고,2023-01-12,2023-02-07,2023-01-12
[주택] [정정공고]경기리츠1호(진건B1블록 및 지금A2블록) 장기전세주택 2차 추가 입주자 및 예비자 모집공고,2023-01-12,2023-02-22,2023-01-12
[주택] 다산 센트럴파크6단지 국민임대주택(33형)추가 및 예비입주자 모집 당첨자 발표(‘22.6.27 공고),2023-01-09,2023-02-03,2023-01-09
[주택] 다산 센트럴파크6단지 국민임대주택(46A형) 예비입주자 모집 서류제출 대상자 발표 안내,2023-01-02,2023-01-17,2023-01-02
다산 센트럴파크6단지 국민임대주택('22.06.27.공고) 당첨자 발표 일정 안내,2023-01-02,2023-01-10,2023-01-02
다산 포레스트2단지 국민임대주택 서류제출대상자 경쟁률 및 커트라인 안내,2022-12-28,2023-01-08,2022-12-28
다산 포레스트2단지 국민임대주택 서류제출대상자 추가 발표,2022-12-28,2023-01-05,2022-12-28
광주역 자연앤자이 공공분양(1차) 무순위(1호) 입주자 모집공고,2022-12-28,2023-01-13,2022-12-28
다산 진건A3블록 10년 공공임대주택 사전예약 당첨자 본청약 안내,2022-12-27,2023-03-31,2022-12-27
"장기전세주택 당첨자 발표(남양주 지금2힐스테이트, 남광신우부영7)",2022-12-26,2023-01-06,2022-12-26
‘22년 매입임대주택 미임대 (2차) 입주자 모집,2022-12-22,2023-01-19,2022-12-22
다산 센트럴파크6단지 국민임대주택(46A형) 예비입주자 모집 신청접수 마감 안내,2022-12-21,2022-12-27,2022-12-21
다산 포레스트2단지 국민임대주택 서류제출대상자 추가 발표 안내,2022-12-20,2023-01-05,2022-12-20
[주택] 다산 메트로3단지 국민임대주택 51A형 예비자 모집 서류제출대상자 발표,2022-12-13,2022-12-21,2022-12-13
[주택] 다산신도시 영구임대주택 완화모집 추가입주자 동호수 및 예비입주자 순번 발표,2022-12-09,2022-12-15,2022-12-09
"[주택] 매입임대주택 22년 하반기 청년 예비입주자 모집('22.09.30 공고)관련 최우선,1순위 결과 발표",2022-12-08,2022-12-14,2022-12-08
[주택] 다산 센트럴파크6단지 국민임대주택 46A형 예비입주자 모집 공고(2022.12.7.),2022-12-07,2022-12-23,2022-12-07
[주택] 다산 메트로3단지 국민임대주택 51A형 예비입주자 모집('22.11.25.공고) 마감 안내,2022-12-06,2022-12-12,2022-12-06
[주택] 다산 포레스트 2단지 국민임대주택 서류제출대상자 발표,2022-12-06,2022-12-16,2022-12-06
[주택] (수정) [주택] [경기도 내 17개시] ‘22년 2차 기존주택 매입임대 예비입주자 모집,2022-12-06,2022-12-23,2022-12-06
[주택] 안산 롯데캐슬골드파크 장기전세 입주자 및 예비입주자 모집공고,2022-12-06,2022-12-16,2022-12-06
[주택] 의정부 탑석센트럴자이 장기전세주택 입주자격 완화 · 전산추첨 입주자 및 예비입주자 모집 공고,2022-12-05,2022-12-16,2022-12-05
