연월,시도,특별공급 공급세대수,특별공급 접수건수,특별공급 경쟁률,일반공급 공급세대수,일반공급 접수건수,일반공급 경쟁률
2024-12,충남,1639,1418,(△221),1601,16622,10.38
2024-12,전남,446,17,(△429),798,379,(△419)
2025-01,서울,214,18129,84.71,268,40635,151.62
2025-01,부산,55,34,(△21),61,175,2.87
2025-01,광주,21,8,(△13),97,19,(△78)
2025-01,울산,195,4,(△191),137,15,(△122)
2025-01,세종,418,595,1.42,280,4170,14.89
2025-01,경기,147,50,(△97),178,133,(△45)
2025-01,전북,590,3482,5.90,836,21816,26.10
2025-02,부산,86,11,(△75),82,51,(△31)
2025-02,대구,137,37,(△100),237,316,1.33
2025-02,인천,12,15,1.25,17,97,5.71
2025-02,광주,42,5,(△37),245,195,(△50)
2025-02,대전,193,52,(△141),201,225,1.12
2025-02,울산,249,86,(△163),218,414,1.90
2025-02,경기,0,0,0.00,109,516,4.73
2025-02,충남,519,779,1.50,979,20794,21.24
2025-02,경북,184,18,(△166),364,498,1.37
2025-02,경남,4,1,(△3),17,16,(△1)
2025-03,부산,934,145,(△789),491,445,(△46)
2025-03,대구,76,7,(△69),71,113,1.59
2025-03,인천,90,29,(△61),106,70,(△36)
2025-03,대전,0,0,0.00,156,294,1.88
2025-03,경기,393,149,(△244),395,755,1.91
2025-03,강원,328,152,(△176),328,3239,9.88
2025-03,충북,75,3,(△72),73,14,(△59)
2025-03,전북,135,58,(△77),142,428,3.01
2025-03,경북,345,66,(△279),654,2227,3.41
2025-03,경남,985,513,(△472),1056,4011,3.80
2025-04,서울,54,474,8.78,43,917,21.33
2025-04,부산,644,69,(△575),412,503,1.22
2025-04,대구,54,7,(△47),54,225,4.17
2025-04,인천,1389,1708,1.23,1313,6471,4.93
2025-04,울산,181,877,4.85,126,5591,44.37
2025-04,경기,4135,2832,(△1303),3608,10079,2.79
2025-04,충북,424,3092,7.29,152,16668,109.66
2025-04,충남,116,23,(△93),198,416,2.10
2025-04,경북,171,22,(△149),247,524,2.12
2025-04,경남,11,8,(△3),23,24,1.04
2025-05,서울,929,18560,19.98,837,42950,51.31
2025-05,부산,360,54,(△306),398,417,1.05
2025-05,대구,305,0,(△305),235,18,(△217)
2025-05,광주,49,7,(△42),32,88,2.75
2025-05,경기,3275,15089,4.61,1696,59525,35.10
2025-05,전북,0,0,0.00,28,281,10.04
2025-05,전남,25,2,(△23),183,18,(△165)
2025-05,경북,54,0,(△54),36,1,(△35)
2025-06,서울,140,19261,137.58,123,43407,352.90
2025-06,부산,363,203,(△160),314,653,2.08
2025-06,대구,128,338,2.64,568,3599,6.34
2025-06,인천,94,97,1.03,114,213,1.87
2025-06,광주,7,2,(△5),77,149,1.94
2025-06,대전,607,26,(△581),560,487,(△73)
2025-06,울산,30,62,2.07,25,173,6.92
2025-06,경기,2986,1376,(△1610),2641,5921,2.24
2025-06,충북,486,377,(△109),164,1616,9.85
2025-06,충남,662,514,(△148),576,5311,9.22
2025-06,전남,160,11,(△149),134,87,(△47)
2025-06,경남,388,22,(△366),454,416,(△38)
2025-07,서울,44,2303,52.34,38,3503,92.18
2025-07,부산,854,1760,2.06,2844,27186,9.56
2025-07,대구,15,2,(△13),12,21,1.75
2025-07,인천,491,1870,3.81,519,7269,14.01
2025-07,광주,164,2,(△162),144,114,(△30)
2025-07,대전,0,0,0.00,2,51,25.50
2025-07,경기,2011,795,(△1216),1685,2777,1.65
2025-07,강원,518,69,(△449),469,698,1.49
2025-07,충북,1051,447,(△604),1142,2751,2.41
2025-07,충남,429,8,(△421),434,47,(△387)
2025-07,전북,387,100,(△287),341,1022,3.00
2025-07,전남,0,0,0.00,25,110,4.40
2025-07,경남,199,24,(△175),235,208,(△27)
2025-07,제주,0,0,0.00,83,40,(△43)
2025-08,서울,142,37173,261.78,172,70377,409.17
2025-08,부산,1195,294,(△901),1399,3084,2.20
2025-08,인천,738,81,(△657),714,386,(△328)
2025-08,울산,181,32,(△149),135,55,(△80)
2025-08,경기,1945,4753,2.44,2215,14794,6.68
2025-08,강원,607,861,1.42,538,13677,25.42
2025-08,충북,132,10,(△122),111,132,1.19
2025-08,충남,361,163,(△198),616,2357,3.83
2025-08,경남,521,46,(△475),473,487,1.03
2025-09,서울,129,574,4.45,113,1328,11.75
2025-09,부산,989,1776,1.80,908,12415,13.67
2025-09,인천,1176,701,(△475),1160,1835,1.58
2025-09,광주,64,6,(△58),60,18,(△42)
2025-09,울산,602,447,(△155),598,6091,10.19
2025-09,경기,1760,7129,4.05,1661,14181,8.54
2025-09,충북,242,209,(△33),217,1870,8.62
2025-09,충남,666,102,(△564),1157,3357,2.90
2025-09,경북,241,2,(△239),222,4,(△218)
2025-10,서울,370,37788,102.13,306,79464,259.69
2025-10,부산,580,27,(△553),514,232,(△282)
2025-10,대구,0,0,0.00,1,18,18.00
2025-10,인천,445,102,(△343),514,786,1.53
2025-10,광주,0,0,0.00,37,27,(△10)
2025-10,대전,94,291,3.10,205,3636,17.74
2025-10,경기,4855,5028,1.04,4581,22202,4.85
2025-10,충북,384,177,(△207),503,1152,2.29
2025-10,충남,821,229,(△592),1240,3833,3.09
2025-10,전북,0,0,0.00,27,362,13.41
2025-10,전남,624,218,(△406),447,3142,7.03
2025-10,경북,549,220,(△329),648,3278,5.06
2025-11,부산,146,7,(△139),803,50,(△753)
2025-11,인천,903,3393,3.76,938,12777,13.62
2025-11,울산,704,548,(△156),446,3638,8.16
2025-11,세종,252,810,3.21,172,2712,15.77
2025-11,경기,4167,18163,4.36,3217,27354,8.50
2025-11,충남,1138,52,(△1086),839,512,(△327)
2025-11,전북,273,214,(△59),235,2860,12.17
2025-11,전남,65,0,(△65),75,3,(△72)
2025-11,경북,0,0,0.00,30,2,(△28)
2025-11,경남,383,3383,8.83,588,13046,22.19
2025-11,제주,0,0,0.00,209,53,(△156)
2025-12,서울,43,11007,255.98,44,21432,487.09
2025-12,부산,311,352,1.13,267,1602,6.00
2025-12,인천,1563,83,(△1480),1098,740,(△358)
2025-12,대전,0,0,0.00,30,16345,544.83
2025-12,울산,761,186,(△575),574,2793,4.87
2025-12,경기,1753,1346,(△407),1314,4397,3.35
2025-12,강원,0,0,0.00,16,25,1.56
2025-12,전북,7,5,(△2),41,205,5.00
2025-12,전남,173,4,(△169),132,8,(△124)
2025-12,경북,110,9,(△101),154,171,1.11
2025-12,경남,83,13,(△70),79,240,3.04
2026-01,서울,181,6840,37.79,151,6655,44.07
2026-01,부산,92,54,(△38),74,188,2.54
2026-01,인천,418,475,1.14,358,1327,3.71
2026-01,대전,44,0,(△44),297,66,(△231)
2026-01,울산,22,1,(△21),9,10,1.11
2026-01,경기,1038,1138,1.10,1076,3272,3.04
2026-01,제주,41,35,(△6),53,94,1.77
2026-02,서울,32,228,7.13,29,222,7.66
2026-02,부산,197,21,(△176),16,77,4.81
2026-02,광주,0,0,0.00,9,17,1.89
2026-02,울산,0,0,0.00,34,111,3.26
2026-02,경기,1155,3749,3.25,1001,6715,6.71
2026-02,충남,702,666,(△36),1147,14606,12.73
2026-02,전북,0,0,0.00,29,386,13.31
2026-02,경북,427,21,(△406),577,221,(△356)
2026-02,제주,23,0,(△23),27,0,(△27)
