연월,시도,특별공급 공급세대수,특별공급 접수건수,특별공급 경쟁률,일반공급 공급세대수,일반공급 접수건수,일반공급 경쟁률
2022-06,제주,0,0,0.00,36,40,1.11
2022-07,부산,509,286,(△223),403,1108,2.75
2022-07,대구,1288,93,(△1195),1787,1974,1.10
2022-07,인천,1041,2472,2.37,982,4585,4.67
2022-07,광주,49,6,(△43),79,118,1.49
2022-07,대전,855,1981,2.32,801,5916,7.39
2022-07,울산,714,27,(△687),565,172,(△393)
2022-07,경기,1131,323,(△808),1162,1191,1.02
2022-07,강원,277,238,(△39),948,29053,30.65
2022-07,충북,75,190,2.53,74,788,10.65
2022-07,충남,635,186,(△449),575,1902,3.31
2022-07,전북,464,115,(△349),429,1720,4.01
2022-07,전남,882,434,(△448),605,5852,9.67
2022-07,경북,398,28,(△370),378,352,(△26)
2022-07,경남,861,4024,4.67,1001,15813,15.80
2022-07,제주,0,0,0.00,134,205,1.53
2022-08,서울,53,265,5.00,178,604,3.39
2022-08,부산,88,65,(△23),148,744,5.03
2022-08,대구,348,2,(△346),328,96,(△232)
2022-08,인천,616,3323,5.39,373,8397,22.51
2022-08,광주,84,123,1.46,77,522,6.78
2022-08,울산,159,26,(△133),143,283,1.98
2022-08,경기,1789,2623,1.47,1601,7122,4.45
2022-08,강원,847,457,(△390),1080,6495,6.01
2022-08,충북,951,1953,2.05,806,5891,7.31
2022-08,충남,874,411,(△463),928,2912,3.14
2022-08,전북,691,97,(△594),625,1778,2.84
2022-08,전남,174,57,(△117),167,1098,6.57
2022-08,경북,167,5,(△162),143,36,(△107)
2022-08,경남,704,49,(△655),790,1603,2.03
2022-08,제주,0,0,0.00,578,356,(△222)
2022-09,부산,645,5965,9.25,601,31821,52.95
2022-09,대구,292,64,(△228),271,706,2.61
2022-09,인천,160,40,(△120),180,283,1.57
2022-09,경기,574,1703,2.97,673,6402,9.51
2022-09,강원,215,45,(△170),337,1201,3.56
2022-09,충북,856,51,(△805),1744,704,(△1040)
2022-09,충남,169,11,(△158),147,75,(△72)
